Cents,Name(s),2,3,5,7,11,13,Numerator,Denominator,Tenney Height,Superparticular,Color Notation,FJS name,Tinas,Tredeks,Moria,Quartertones,Edo step 1,Edo step 2,Edo step 3,Edo step 4,Edo step 5,Edo step 6,Edo step 7,Edo step 8
1.65099624,,16,-12,4,-1,-1,,40960000,40920957,50.57,,,,11.7,0,,,,,,,,,,
1.66133000,counterschisma comma,-69,45,-1,,,,84449,84368,142.65,,,,,,,,,,,,,,,
1.68935655,,-10,-11,4,4,2,,181575625,181398528,54.87,,,,12.0,0,,,,,,,,,,
1.73036901,fairytale comma,,,,,,,1001,1000,19.93,Yes,,,,,,,,,,,,,,
1.73037000,"fairy tale comma, sinbadma comma",-3,0,-3,1,1,1,1001,1000,19.93,Yes,,,,,,,,,,,,,,
1.75732930,,10,5,-8,-1,1,,2737152,2734375,42.77,,,,12.5,0,,,,,,,,,,
1.76974000,Sasktel comma,485,-306,,,,,46001,45954,970.00,,,,,,,,,,,,,,,
1.77707327,,-12,4,3,2,-2,,496125,495616,37.84,,,,12.6,1,,,,,,,,,,
1.82764376,,13,-8,2,-3,1,,2252800,2250423,42.21,,,,13.0,0,,,,,,,,,,
1.95372000,schisma comma,-15,8,1,,,,32805,32768,30.00,,,,,,,,,,,,,,,
1.95372079,schisma,,,,,,,32805,32768,30.00,,,,,,,,,,,,,,,
1.95372079,"skhisma [Ellis], schisma",-15,8,1,0,0,,32805,32768,30.00,,,,13.9,1,,,,,,,,,,
1.95372100,"schisma, |-15, 8, 1>",,,,,,,32805,32768,30.00,,"Ly-2, layo comma",d-25,,,,,,,,,,,,
1.95400000,schisma (3 to the 8th/2 to the 12th x 5/8),,,,,,,32805,32768,30.00,,,,,,,,,,,,,,,
1.97643765,,12,-6,-2,2,-1,,200704,200475,35.23,,,,14.1,0,,,,,,,,,,
2.13036831,,-18,12,-1,-2,2,,64304361,64225280,51.88,,,,15.2,1,,,,,,,,,,
2.15011227,,-40,11,10,1,-1,,12109658203125,12094627905536,86.92,,,,15.3,2,,,,,,,,,,
2.15308518,,9,-2,-4,0,1,,5632,5625,24.92,,,,15.3,0,,,,,,,,,,
2.15309000,vishdel comma,9,-2,-4,0,1,,5632,5625,24.92,,,,,,,,,,,,,,,
2.17282914,,-13,-3,7,3,-2,,26796875,26763264,49.35,,,,15.5,1,,,,,,,,,,
2.19978943,Nicola,,,,,,,1575,1573,21.24,,,,,,,,,,,,,,,
2.19979000,nicola comma,0,2,2,1,-2,-1,1575,1573,21.24,,,,,,,,,,,,,,,
2.20068277,,-15,-1,9,-4,2,,236328125,236027904,55.63,,,,15.7,1,,,,,,,,,,
2.22339964,,12,-15,6,-2,1,,704000000,703096443,58.78,,,,15.8,0,,,,,,,,,,
2.24612000,tricot comma,39,-29,3,,,,43191,43135,91.93,,,,,,,,,,,,,,,
2.27916220,,-19,14,-5,3,0,,1640558367,1638400000,61.22,,,,16.2,1,,,,,,,,,,
2.30985231,ancient Chinese tempering,,,,,,,750,749,19.10,Yes,,,,,,,,,,,,,,
2.32675980,,-43,15,8,-1,1,,61655459765625,61572651155456,91.62,,,,16.6,2,,,,,,,,,,
2.34947666,horwell comma,,,,,,,65625,65536,32.00,,,,,,,,,,,,,,,
2.34947666,,-16,1,5,1,0,,65625,65536,32.00,,,,16.7,1,,,,,,,,,,
2.34948000,horwell comma,-16,1,5,1,,,65625,65536,32.00,,,,,,,,,,,,,,,
2.34948000,horwell comma,-16,1,5,1,,,65625,65536,32.00,,,,,,,,,,,,,,,
